MajorID,FakeStudentID,major_abbr,pathway,Campus,College,MajorName,GPA
1,1,GEOG  ,0,Seattle,College of Arts and Sciences,Geography                               ,2.366666
1,2,SOC   ,0,Seattle,College of Arts and Sciences,Sociology                               ,2.605555
1,3,B BIO ,0,Bothell,Science Technology Engineering and Mathematics,Biology (Bothell Campus)                ,3.206896
1,4,SOCS E,0,Seattle,College of Arts and Sciences,"Social Sciences, Evening Degree Program ",2.291666
1,5,COM   ,0,Seattle,College of Arts and Sciences,Communication                           ,2.503448
1,6,POL S ,0,Seattle,College of Arts and Sciences,Political Science                       ,2.44375
1,7,SOCS E,0,Seattle,College of Arts and Sciences,"Social Sciences, Evening Degree Program ",2.738888
1,7,PSYCH ,0,Seattle,College of Arts and Sciences,Psychology                              ,2.738888
1,8,ANTH  ,0,Seattle,College of Arts and Sciences,Anthropology                            ,2.935
1,9,ART   ,0,Seattle,College of Arts and Sciences,Interdisciplinary Visual Arts           ,3.341666
1,10,ISS O ,0,Seattle,College of Arts and Sciences,"Integrated Social Sciences, Online      ",2.426086
1,11,INDIV ,0,Seattle,Undergraduate Academic Affairs,Individualized Studies                  ,2.408333
1,12,PSYCH ,0,Seattle,College of Arts and Sciences,Psychology                              ,2.734782
1,13,ARCH  ,0,Seattle,Built Environments,Architecture                            ,3.321428
1,14,COM   ,0,Seattle,College of Arts and Sciences,Communication                           ,3.402857
1,15,HIST  ,0,Seattle,College of Arts and Sciences,History                                 ,2.696428
1,16,ENGL  ,0,Seattle,College of Arts and Sciences,English                                 ,3.716666
1,17,POL S ,0,Seattle,College of Arts and Sciences,Political Science                       ,3.266666
1,18,ENGL  ,0,Seattle,College of Arts and Sciences,English                                 ,3.1525
1,19,CHEM  ,0,Seattle,College of Arts and Sciences,Chemistry                               ,3.872222
1,20,MICRO ,0,Seattle,School of Medicine,Microbiology                            ,2.846551
1,21,ARCH  ,0,Seattle,Built Environments,Architecture                            ,3.094117
1,22,CSS   ,0,Bothell,Science Technology Engineering and Mathematics,Computing & Software Systems            ,3.690243
1,23,HIST  ,0,Seattle,College of Arts and Sciences,History                                 ,2.758823
1,24,SPHSC ,0,Seattle,College of Arts and Sciences,Speech and Hearing Sciences             ,3.44035
1,25,DANISH,0,Seattle,College of Arts and Sciences,Danish                                  ,3.235483
1,26,ACCTG ,0,Seattle,Foster Business School,Accounting                              ,3.207407
1,27,SOCS E,0,Seattle,College of Arts and Sciences,"Social Sciences, Evening Degree Program ",2.411111
1,28,ENGL  ,0,Seattle,College of Arts and Sciences,English                                 ,2.673913
1,29,PSYCH ,0,Seattle,College of Arts and Sciences,Psychology                              ,2.777777
1,30,ART   ,0,Seattle,College of Arts and Sciences,Interdisciplinary Visual Arts           ,2.7
1,31,HUM E ,0,Seattle,College of Arts and Sciences,"Humanities, Evening Degree Program      ",2.863636
1,32,ECON  ,0,Seattle,College of Arts and Sciences,Economics                               ,2.714285
1,33,MEDXD ,0,Seattle,School of Medicine,Medxd (Medex Degree Program)            ,3.1
1,34,POL S ,0,Seattle,College of Arts and Sciences,Political Science                       ,2.484848
1,35,ART   ,0,Seattle,College of Arts and Sciences,Interdisciplinary Visual Arts           ,2.956666
1,36,NURS  ,0,Seattle,School of Nursing,Nursing                                 ,2.983333
1,37,ANTH  ,0,Seattle,College of Arts and Sciences,Anthropology                            ,2.9
1,38,B NURS,0,Bothell,Nursing and Health Studies,Nursing (Bothell Campus)                ,3.04
1,39,ENGL  ,0,Seattle,College of Arts and Sciences,English                                 ,2.6125
1,40,POL S ,0,Seattle,College of Arts and Sciences,Political Science                       ,2.476666
1,41,OCEAN ,0,Seattle,College of the Environment,Oceanography                            ,3.191176
1,41,AFS   ,0,Seattle,College of the Environment,Aquatic and Fishery Sciences            ,3.191176
1,42,ECFS  ,0,Seattle,College of Education,Early Childhood and Family Studies      ,3.165882
1,43,PHIL  ,0,Seattle,College of Arts and Sciences,Philosophy                              ,2.952173
1,44,ANTH  ,0,Seattle,College of Arts and Sciences,Anthropology                            ,3.233333
1,45,ENGL  ,0,Seattle,College of Arts and Sciences,English                                 ,3.148
1,46,ENGL  ,0,Seattle,College of Arts and Sciences,English                                 ,3
1,47,ENGL  ,0,Seattle,College of Arts and Sciences,English                                 ,3.0375
1,48,SIS   ,0,Seattle,College of Arts and Sciences,International Studies                   ,2.779411
1,49,B NURS,0,Bothell,Nursing and Health Studies,Nursing (Bothell Campus)                ,3.5
