Code,Name,URL,Status
AES,American Ethnic Studies,http://www.washington.edu/students/gencat/academic/amer_ethnic.html,open
AIS,American Indian Studies,http://www.washington.edu/students/gencat/academic/amer_indian.html,minimum
ANTH,Anthropology,http://www.washington.edu/students/gencat/academic/anthropology.html,open
ACMS,Applied and Computational Mathematical Sciences,http://www.washington.edu/students/gencat/academic/acms.html,competitive
ART H,Art History,http://www.washington.edu/students/gencat/academic/art.html,minimum
SISA,Asian Studies,http://www.washington.edu/students/gencat/academic/sis.html,open
ASTR,Astronomy,http://www.washington.edu/students/gencat/academic/astr.html,minimum
BIOCHM,Biochemistry,http://www.washington.edu/students/gencat/academic/bioc.html,competitive
BIOL,Biology,http://www.washington.edu/students/gencat/academic/biol.html,competitive
SIS,Canadian Studies,http://www.washington.edu/students/gencat/academic/sis.html,open
CHEM,Chemistry,http://www.washington.edu/students/gencat/academic/chem.html,competitive
CHIN,Chinese,http://www.washington.edu/students/gencat/academic/asian_lang_lit.html,minimum
CL ST,Classical Studies,http://www.washington.edu/students/gencat/academic/clas.html,open
CLAS,Classics,http://www.washington.edu/students/gencat/academic/clas.html,open
COM,Communication,http://www.washington.edu/students/gencat/academic/com.html,competitive
CHID,Comparative History of Ideas,http://www.washington.edu/students/gencat/academic/chid.html,open
C LIT,Comparative Literature,http://www.washington.edu/students/gencat/academic/clit.html,minimum
RELIG,Comparative Religion,http://www.washington.edu/students/gencat/academic/sis.html,open
MUSIC,Composition (Music),http://www.washington.edu/students/gencat/academic/music.html,competitive
C SCI,Computer Science,http://www.washington.edu/students/gencat/academic/comp_sci.html,competitive
DANCE,Dance,http://www.washington.edu/students/gencat/academic/dance.html,mixed
SCAND,Danish,http://www.washington.edu/students/gencat/academic/scand.html,open
DXARTS,Digital Arts and Experimental Media,http://www.washington.edu/students/gencat/academic/dxarts.html,competitive
DRAMA,Drama,http://www.washington.edu/students/gencat/academic/drama.html,minimum
ECON,Economics,http://www.washington.edu/students/gencat/academic/econ.html,competitive
ENGL,English,http://www.washington.edu/students/gencat/academic/engl.html,competitive
?,Ethnomusicology,http://blogs.uw.edu/somuw/,competitive
EURO,European Studies,http://www.washington.edu/students/gencat/academic/sis.html,open
SCAND,Finnish,http://www.washington.edu/students/gencat/academic/scand.html,open
FRENCH,French,http://www.washington.edu/students/gencat/academic/roman.html,open
GWSS,"Gender, Women, and Sexuality Studies",http://www.washington.edu/students/gencat/academic/women_studies.html,open
GEOG,Geography,http://www.washington.edu/students/gencat/academic/geog.html,open
GERMAN,Germanics,http://www.washington.edu/students/gencat/academic/german.html,minimum
CLAS,Greek,http://www.washington.edu/students/gencat/academic/clas.html,open
MUSIC,Guitar (could be MUSAP Applied Music (String Instruments)),http://www.washington.edu/students/gencat/academic/music.html,competitive
HIST,History,http://www.washington.edu/students/gencat/academic/hist.html,minimum
HPS,History and Philosophy of Science,http://www.washington.edu/students/gencat/academic/hist.html,minimum
INDIV,Individualized Studies,http://www.washington.edu/students/gencat/academic/indiv.html,minimum
DESIGN,Industrial Design,http://www.washington.edu/students/gencat/academic/art.html,competitive
ISS O,Integrated Social Sciences,http://www.washington.edu/students/gencat/academic/iss.html,competitive
